Date,Close,CompanyName,New_Date,Description
2013/12/18,63.549999,Target,Day Right before Public Knows:2013/12/18,"In November and December 2013, cyber thieves executed a successful cyber attack
against Target, one of the largest retail companies in the United States. The attackers stole the financial and personal information of up to 70 million Target customers. On December 19, 2013, Target confirmed that credit and debit card information of 40 million customers had been exposed."
2013/12/19,62.150002,Target,Day the public Knows:2013/12/19,
2013/12/20,62.490002,Target,Company response:2013/12/20,
2013/12/23,61.880001,Target,Day after the company response:2013/12/23,
2022/7/20,39.599998,Twitter,Day Right before Public Knows:2022/7/20,"On August 5, 2022, the social media company Twitter confirmed that the data breach that happened in July has allowed an attacker to get access to the contact details of 5.4 million accounts. Users’ phone numbers and email addresses have been offered for sale on a hacking forum. In January, 2022, Twitter had previously confirmed the existence of the vulnerability, but not commented on the fact that it had been exploited."
2022/7/21,39.52,Twitter,Day the public Knows:2022/7/21,
2022/8/5,42.52,Twitter,Company response:2022/8/5,
2022/8/8,42.939999,Twitter,Day after the company response:2022/8/8,
2021/8/14,144.940002,T-Mobile,Day Right before Public Knows:2021/8/14,"On Aug 16, 2021, the mobile communications services provider T-Mobile confirmed that a cyberattack had led to the theft of millions of people's personal information. T-Mobile said only about 850,000 people's names, addresses and PINs were compromised. According to court filings, however, approximately 76.6 million people had been affected. Data exposed including first and last names, Social Security numbers and driver’s license information."
2021/8/16,140.729996,T-Mobile,Day the public Knows:2021/8/16,
2021/8/27,138.380005,T-Mobile,Company response:2021/8/27,
2021/8/30,137.899994,T-Mobile,Day after the company response:2021/8/30,
2019/7/30,0,DoorDash,noGraph1,"Doordash is an American company that operates an online food ordering and food delivery platform. On September 27 2019, Doordash said in a blog post that 4.9 million customers, delivery workers and merchants had their information stolen by hackers. Users who joined the platform before April 5, 2018 had their name, email and delivery addresses, order history, phone numbers and hashed and salted passwords stolen. Around 100,000 delivery workers also had their driver’s license information stolen in the breach."
2019/7/30,0,DoorDash,noGraph2,
2019/7/30,0,DoorDash,noGraph3,
2019/7/30,0,DoorDash,noGraph4,
2019/7/30,0,Yahoo,noGraph1,"On September 22, 2016, the web service provider Yahoo admitted a major security breach of its systems that happened in 2014 has affected 500 million users. The account information may have included names, email addresses, telephone numbers, dates of birth, hashed passwords, and encrypted or unencrypted security questions and answers. Three months after the statement, Yahoo announced its biggest ever security breach. The 2013 hack has affected more than one billion users."
2019/7/30,0,Yahoo,noGraph2,
2019/7/30,0,Yahoo,noGraph3,
2019/7/30,0,Yahoo,noGraph4,
